							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
83	0.82	-44.416	45.801	379.41	177.651	43.844	382.932
84	0.83	-35.502	45.833	379.395	177.628	43.833	382.957
85	0.84	-26.626	45.906	379.447	177.626	43.827	382.98
86	0.85	-17.727	45.976	379.378	177.633	43.883	382.98
87	0.86	-8.854	46.062	379.287	177.634	43.948	382.9
88	0.87	0.023	46.141	379.284	177.634	43.986	382.923
89	0.88	8.929	46.161	379.266	177.657	43.976	382.933
90	0.89	17.797	46.254	379.207	177.652	43.985	382.922
91	0.9	26.67	46.357	379.143	177.631	44.001	382.912
92	0.91	35.585	46.376	379.178	177.626	43.951	382.912
93	0.92	44.483	46.378	379.177	177.654	43.91	382.99
94	0.93	51.215	46.273	379.534	179.723	44.113	383.182
95	0.94	55.032	46.022	379.657	184.526	44.234	383.162
96	0.95	58.646	46.049	379.187	189.375	44.077	382.964
97	0.96	62.197	46.335	379.136	194.109	43.91	383.065
98	0.97	65.685	46.577	379.114	198.773	43.838	383.165
99	0.98	69.157	46.749	379.031	203.501	43.864	383.076
100	0.99	72.605	46.675	379.055	208.203	43.958	383.074
101	1	76.025	46.518	379.126	212.986	44.03	383.088
102	1.01	79.427	46.398	379.21	217.713	44.184	383.121
103	1.02	82.856	46.346	379.21	222.404	44.324	383.094
